"direction","sex","age_group","N","mean_z","sd_z","p10","p5"
"US to Korea","Female","20-39",4997,-1.23381128527356,0.922973914690117,50.7431763133811,34.8705697916986
"US to Korea","Female","40-59",7242,-0.812695971925222,0.932743167527673,32.2336964319031,18.8425712209502
"US to Korea","Female","60-79",5704,-0.467776970493997,1.06623413833786,22.7094480173296,14.2238238516383
"US to Korea","Male","20-39",4125,-0.745042222302214,0.872228287455276,26.9985708469501,15.0919459100687
"US to Korea","Male","40-59",5532,-0.367569638336797,0.945749976249136,16.6670993026706,9.0484559771346
"US to Korea","Male","60-79",4711,-0.177120119936262,0.959143456893591,12.6876236047903,6.81427843025571
"Korea to US","Female","20-39",1724,1.29466272574779,1.0137339849483,0.219817745904344,0.145534159117979
"Korea to US","Female","40-59",1719,0.887630282941319,1.05797553306588,2.98132361065936,1.03686477346709
"Korea to US","Female","60-79",1275,0.559163903747558,0.976284617980356,3.31689171826774,1.78420001170382
"Korea to US","Male","20-39",1757,0.878438431650145,1.11781749123475,2.93707984172336,1.31376850541345
"Korea to US","Male","40-59",1618,0.488013930355573,1.06685016446156,5.40547303500534,3.05361218277273
"Korea to US","Male","60-79",1241,0.387011455128143,1.03751108073732,5.54816011779662,3.30846757920275
