"direction","sex","quintile","n","mean_z","sd_z","iqr_z","p5","p10","p90","p95"
"US to Korea","Female","Q1",4261,-0.513731190119107,1.0447585852962,1.43859484744188,14.5874403774618,23.6365895226248,4.29694527707512,1.92409501097723
"US to Korea","Female","Q2",3829,-0.784225871484376,1.01454408568539,1.42769190707423,20.8933059441607,32.8795136607732,2.10837192272268,0.821237968710586
"US to Korea","Female","Q3",3540,-0.971350676753421,0.967251337488234,1.33602096337269,25.1626561198338,39.0500699254327,1.13710984294173,0.52085930618101
"US to Korea","Female","Q4",3275,-1.03268568553352,0.932527879396626,1.28695644580462,26.8261007019967,41.7497696077174,0.845210768270567,0.300137517154421
"US to Korea","Female","Q5",3038,-1.10953553470335,0.94627715187287,1.28005473180843,29.7344841545102,45.6195870389137,0.861273755419295,0.399148958240853
"US to Korea","Male","Q1",3706,-0.147662829107331,0.905812777181901,1.25973834443675,5.42553547491296,10.8448568382758,5.09729945119827,1.74648708840172
"US to Korea","Male","Q2",3069,-0.335795649497116,0.934994652852465,1.2284317384539,7.90891877485539,15.8004857210059,4.44305649178985,1.74902139686335
"US to Korea","Male","Q3",2723,-0.476398981655296,0.917115925075862,1.20526960142599,10.3730234888133,18.5174373934757,3.03269321562967,1.50698817386328
"US to Korea","Male","Q4",2510,-0.621560034982794,0.943511061387222,1.24594551813859,13.6003731824652,24.4454368339649,2.6559251130417,1.35666179990196
"US to Korea","Male","Q5",2360,-0.790428865176422,0.905923641276854,1.2005660585792,17.2985163247015,29.5682735147357,1.78405267082707,0.716645970132076
"Korea to US","Female","Q1",1211,0.792614119782984,1.05477503616127,1.3474750680534,1.76511347741499,2.51261984102476,30.9988350161167,20.1852105204737
"Korea to US","Female","Q2",1019,0.897137001800311,1.04818074259489,1.39896047209438,1.24770008411388,2.01331686808651,36.1813438876587,24.6694234211287
"Korea to US","Female","Q3",902,1.0216088648481,1.11258306171174,1.43676695002078,0.967544189694408,2.25481133216528,40.8474199611192,29.4087861079495
"Korea to US","Female","Q4",824,1.06792380434802,1.05081197297247,1.401095035122,0.231832559490524,1.82749274142155,38.7178758886538,27.9316288518993
"Korea to US","Female","Q5",762,1.0299180410462,1.01604149375818,1.34723225873686,0.183780294098923,1.53847893145331,37.0952655130334,26.7311474552499
"Korea to US","Male","Q1",1223,0.371918098909481,1.1583864008324,1.60929620588906,3.09245296259913,7.01902889067199,22.6596150729592,14.7015890801229
"Korea to US","Male","Q2",987,0.511102447470221,1.09261263302083,1.48844262553355,3.17989313527528,4.88535774993568,24.4541090397984,15.2323292156311
"Korea to US","Male","Q3",894,0.662291094219608,1.04563555931818,1.43309076987426,2.04480581575731,4.43782214973804,30.321661129509,16.4399440460928
"Korea to US","Male","Q4",804,0.756185476461012,1.08438725954813,1.34602362545634,2.42554708612026,3.31330085554039,31.852500086557,19.30874469027
"Korea to US","Male","Q5",708,0.789904374925558,1.06482554173175,1.47146455355026,1.41572381035323,2.70039549087889,33.1230969977829,22.677693827739
