"sex","scenario","method","N","source_reference","evaluation","adaptation","abs_mean_z","abs_sd_minus1","abs_slope_per10cm","abs_p10_minus10_pp","abs_p5_minus5_pp","p10_height_range_pp","p5_height_range_pp","abs_age_slope_per10y","p10_age_range_pp","p5_age_range_pp"
"Female","A","Height2",8476,"Korea 2014-2016, training-fold fits","Korea 2014-2016, mean of 2 PSU-grouped OOF repeats","None",0.000205390777947865,0.00166366700197995,0.104141618497415,0.715210414611951,0.0476038078417953,2.39634350442434,1.63095478267752,0.00021070595763831,1.94402924899961,1.20837651543679
"Female","A","Allometry_ageadj",8476,"Korea 2014-2016, training-fold fits","Korea 2014-2016, mean of 2 PSU-grouped OOF repeats","None",0.000169017731527959,0.0020177287134,0.00537485742436807,0.61783439858373,0.0415528213371998,2.81341182446074,2.22800485432987,0.000196979517739501,1.41657478792917,1.48246068687555
"Female","A","BCT",8476,"Korea 2014-2016, training-fold fits","Korea 2014-2016, mean of 2 PSU-grouped OOF repeats","None",0.000182396432548148,0.00426679283939502,0.00485894386008087,0.296971229975305,0.0237880123138003,2.02831987888956,1.37623343915166,0.00378437547628319,1.76075251063409,1.79424074751986
"Female","B","Height2",9467,"Korea 2014-2016, frozen full development fit","Korea 2017-2019 temporal evaluation","None",0.442086251390207,0.029268024248687,0.14427905165159,8.6827920628236,5.7960622156921,5.90622666905166,3.64315254639048,0.0177833340212864,3.5418362958999,2.67750182661089
"Female","B","Allometry_ageadj",9467,"Korea 2014-2016, frozen full development fit","Korea 2017-2019 temporal evaluation","None",0.43398847458322,0.027995018856788,0.0574499215429142,8.538632974399,5.8500016847571,2.55210730652786,1.26246296550706,0.0195547407024836,3.6924840530407,2.35862843246845
"Female","B","BCT",9467,"Korea 2014-2016, frozen full development fit","Korea 2017-2019 temporal evaluation","None",0.437736083985155,0.030660007877923,0.0543360701626397,9.1887724590579,5.7760007861979,3.68549691061795,2.25922990351292,0.013457630906809,3.9560425764383,2.32227423068919
"Female","C","Height2",2527,"Korea 2014-2019, frozen pooled fit","NHANES 2013-2014 held-out","NHANES 2011-2012 location + scale only",0.0315393734089881,0.0461736811956499,0.0882068175425915,1.20215560226043,0.14477892024481,5.15418208139075,1.99965096683085,0.217614273764688,9.3476653618487,7.18919546475673
"Female","C","Allometry_ageadj",2527,"Korea 2014-2019, frozen pooled fit","NHANES 2013-2014 held-out","NHANES 2011-2012 location + scale only",0.0219329206580522,0.0375175897715501,0.082987302138257,1.06453671352867,0.14818998766343,3.79286125504036,2.29953290586687,0.20042335561133,8.84440030455051,6.79103264480237
"Female","C","BCT",2527,"Korea 2014-2019, frozen pooled fit","NHANES 2013-2014 held-out","NHANES 2011-2012 location + scale only",0.0207826816334027,0.03774979478311,0.084496452769177,0.58675477528319,0.24381881882277,3.98859689887437,3.44070400498028,0.204411107894564,9.50856190297038,7.55602799198073
"Male","A","Height2",6742,"Korea 2014-2016, training-fold fits","Korea 2014-2016, mean of 2 PSU-grouped OOF repeats","None",0.000199600369584159,0.00287670218178504,0.16980870474124,0.599516596478195,0.164836868387275,6.09643669374351,3.91616368037168,5.63967770206882e-05,1.06760096012279,0.497702588589191
"Male","A","Allometry_ageadj",6742,"Korea 2014-2016, training-fold fits","Korea 2014-2016, mean of 2 PSU-grouped OOF repeats","None",0.000417866063291572,0.00322884600024498,0.0115570644855943,0.510378009574525,0.132646129028685,3.87042119053655,2.8541582935079,9.96533140410645e-05,1.18758588566508,0.559857466669238
"Male","A","BCT",6742,"Korea 2014-2016, training-fold fits","Korea 2014-2016, mean of 2 PSU-grouped OOF repeats","None",0.000501493514041761,0.00521213658794506,0.00956584640805038,0.0889578673540505,0.10162119640818,2.52091117557807,1.90931341067372,0.00282856020319903,1.0523483970589,0.987925623310991
"Male","B","Height2",7626,"Korea 2014-2016, frozen full development fit","Korea 2017-2019 temporal evaluation","None",0.358309303568891,0.00255516303728998,0.159969421805635,6.7882138568499,4.4706626654554,7.80553743282619,6.12252554834747,0.0257841533185111,4.5661517338537,2.56189357085408
"Male","B","Allometry_ageadj",7626,"Korea 2014-2016, frozen full development fit","Korea 2017-2019 temporal evaluation","None",0.346314030038921,0.01034013333411,0.0137114092355282,6.7373081921406,4.55681021046999,4.06369338356262,3.26538338161296,0.0291264562111486,5.7318622752709,2.93183150124843
"Male","B","BCT",7626,"Korea 2014-2016, frozen full development fit","Korea 2017-2019 temporal evaluation","None",0.347292139690957,0.00448823921173003,0.0232635993519343,7.8164896003032,4.83649204721531,2.99290248491761,1.01773228994404,0.0131616871146378,3.685267991592,2.29541848862729
"Male","C","Height2",2371,"Korea 2014-2019, frozen pooled fit","NHANES 2013-2014 held-out","NHANES 2011-2012 location + scale only",0.0614572700972889,0.017771195687827,0.0817748457443619,2.76633386056351,1.19899192217456,2.74109597151087,1.96066128043756,0.136770183559209,4.12762944964753,2.51199686480948
"Male","C","Allometry_ageadj",2371,"Korea 2014-2019, frozen pooled fit","NHANES 2013-2014 held-out","NHANES 2011-2012 location + scale only",0.0607250304741995,0.022354479272756,0.0955411974941012,2.89780353696307,1.17657655565939,5.15240961668449,2.42288032115116,0.11175961053166,1.99389580762347,1.56516068084828
"Male","C","BCT",2371,"Korea 2014-2019, frozen pooled fit","NHANES 2013-2014 held-out","NHANES 2011-2012 location + scale only",0.0642539801333771,0.021968849927295,0.155088078921025,1.16338434032594,0.59038000913537,6.35698683836791,2.95437049633542,0.101879294199224,6.1387785293548,2.85894151840619
