"sex","normalization","calibration","race","N","mean_z","mean_ci_low","mean_ci_high","sd_z","p10","p5","p10_events","p5_events","height_slope_per10cm","height_slope_ci_low","height_slope_ci_high","PSU_N","mean_age","mean_height"
"Female","BCT","Frozen","Non-Hispanic Asian",282,0.628519657483769,0.513826660095036,0.743212654872501,0.968958205819488,1.52741063900986,0.956616523053036,4,2,0.0863790977396235,-0.0527817694091235,0.225539964888371,30,43.7033723699914,156.999148193876
"Female","BCT","Frozen","Non-Hispanic White",1078,0.891316725554924,0.822244317462598,0.96038913364725,1.01491116427046,2.54550561927155,1.03618984718079,25,12,0.0554059013348738,-0.0682727024268972,0.179084505096645,30,48.0324919669714,162.976987643414
"Female","BCT","Frozen","Non-Hispanic Black",519,1.47883595016425,1.3475465756023,1.6101253247262,1.28523895782964,2.72456449478146,2.07564418805733,14,10,0.0360235416693805,-0.252545178179308,0.324592261518069,28,44.1595297280088,163.083367777032
"Female","BCT","Frozen","Hispanic",572,1.01921940306419,0.937439399128779,1.1009994069996,1.04271843807693,1.73491577834282,0.932362760441346,15,8,0.206981009904307,0.0643367399655403,0.349625279843074,30,40.9860088587862,158.183813485509
"Female","BCT","Frozen","Other / multiracial",76,1.11471272583423,0.85817217550736,1.37125327616111,1.30505394109048,4.61396338467381,0,2,0,0.0829855370212129,-0.468707111749246,0.634678185791672,27,41.2292758555202,163.00306041468
"Female","BCT","Location_scale","Non-Hispanic Asian",282,-0.30890889120188,-0.419065950567889,-0.198751831835872,0.930637345189168,15.6602177761479,7.92549290731292,44,20,0.0829629324747315,-0.050694328674114,0.216620193623577,30,43.7033723699914,156.999148193876
"Female","BCT","Location_scale","Non-Hispanic White",1078,-0.0565050575954599,-0.122845754342539,0.00983563915161954,0.974772932255309,8.86437140066802,4.97695531085844,95,54,0.0532146800722855,-0.0655726182552132,0.172001978399784,30,48.0324919669714,162.976987643414
"Female","BCT","Location_scale","Non-Hispanic Black",519,0.50777865263495,0.381681578210004,0.633875727059896,1.23440966232046,9.19514071289797,5.87965264407819,52,34,0.0345988639986287,-0.242557390762116,0.311755118759374,28,44.1595297280088,163.083367777032
"Female","BCT","Location_scale","Hispanic",572,0.0663392586247032,-0.0122064673879526,0.144884984637359,1.00148046960499,9.10537420393638,4.79755085655297,71,39,0.198795217796838,0.0617923172744267,0.335798118319248,30,40.9860088587862,158.183813485509
"Female","BCT","Location_scale","Other / multiracial",76,0.158055962041073,-0.08833878982302,0.404450713905165,1.2534409923676,13.2671664394531,5.92485442466922,8,3,0.0797035820520278,-0.450170440303658,0.609577604407713,27,41.2292758555202,163.00306041468
"Female","Height2","Frozen","Non-Hispanic Asian",282,0.672805180447805,0.546281329077372,0.799329031818238,0.977246138393591,1.52741063900986,0.956616523053036,4,2,-0.117044094105525,-0.267205360115986,0.0331171719049361,30,43.7033723699914,156.999148193876
"Female","Height2","Frozen","Non-Hispanic White",1078,0.793205578772323,0.720315065721923,0.866096091822723,1.02979254724983,2.70468355257714,1.64232345219226,27,16,-0.110207888641914,-0.235451331269752,0.0150355539859238,30,48.0324919669714,162.976987643414
"Female","Height2","Frozen","Non-Hispanic Black",519,1.41354473142765,1.27545494787979,1.55163451497551,1.35197191199382,2.99723653949923,2.30594206250883,15,11,-0.155928001852879,-0.465887110950549,0.15403110724479,28,44.1595297280088,163.083367777032
"Female","Height2","Frozen","Hispanic",572,1.05165124937667,0.963248474208016,1.14005402454533,1.07403665379029,1.73363859986879,0.71121227576222,13,7,0.011575932437764,-0.137080304420739,0.160232169296267,30,40.9860088587862,158.183813485509
"Female","Height2","Frozen","Other / multiracial",76,1.08249191396475,0.779847561650593,1.38513626627892,1.39581253510258,4.61396338467381,0,2,0,-0.0965009172191851,-0.693094354164142,0.500092519725772,27,41.2292758555202,163.00306041468
"Female","Height2","Location_scale","Non-Hispanic Asian",282,-0.188035180928877,-0.307450530066344,-0.0686198317914106,0.922341420574102,11.0681682393065,5.05848884169676,30,12,-0.110468194025873,-0.252192934565613,0.0312565465138667,30,43.7033723699914,156.999148193876
"Female","Height2","Location_scale","Non-Hispanic White",1078,-0.0743992502606124,-0.143194548304762,-0.00560395221646337,0.971935609270715,8.85625844889903,4.94624904143656,92,52,-0.104016067779554,-0.222222945507247,0.0141908099481382,30,48.0324919669714,162.976987643414
"Female","Height2","Location_scale","Non-Hispanic Black",519,0.511087325555775,0.380755854168566,0.641418796942984,1.27601393844796,8.11841965931189,5.56779186300242,46,31,-0.147167483283871,-0.439712128663564,0.145377162095822,28,44.1595297280088,163.083367777032
"Female","Height2","Location_scale","Hispanic",572,0.169526141307867,0.0860901081240645,0.252962174491669,1.01369394473535,7.47883937062613,3.56175746150701,57,28,0.0109255606644485,-0.129378707927145,0.151229829256042,30,40.9860088587862,158.183813485509
"Female","Height2","Location_scale","Other / multiracial",76,0.198634081743816,-0.0870067725664691,0.484274936054102,1.31739145943101,13.2671664394531,5.92485442466922,8,3,-0.0910791965071947,-0.654154164540864,0.471995771526474,27,41.2292758555202,163.00306041468
"Female","Allometry_ageadj","Frozen","Non-Hispanic Asian",282,0.636517289475676,0.518389716766157,0.754644862185194,0.972235598818605,1.52741063900986,0.956616523053036,4,2,0.0666864616641088,-0.0793608582507764,0.212733781578994,30,43.7033723699914,156.999148193876
"Female","Allometry_ageadj","Frozen","Non-Hispanic White",1078,0.893254621002316,0.82302097008746,0.963488271917173,1.02934908806725,2.37191051076131,1.00359987630031,23,11,0.0592599954275554,-0.067680377757275,0.186200368612386,30,48.0324919669714,162.976987643414
"Female","Allometry_ageadj","Frozen","Non-Hispanic Black",519,1.51424902874184,1.37657064438504,1.65192741309864,1.35720673728845,2.58620577168187,2.30594206250883,13,11,0.0396640826048904,-0.271122637297391,0.350450802507172,28,44.1595297280088,163.083367777032
"Female","Allometry_ageadj","Frozen","Hispanic",572,1.0336313035176,0.950438517746754,1.11682408928844,1.07365419730323,1.54203625942333,0.932362760441346,13,8,0.202319354361454,0.0554587273709184,0.34917998135199,30,40.9860088587862,158.183813485509
"Female","Allometry_ageadj","Frozen","Other / multiracial",76,1.16491680397049,0.877471224119619,1.45236238382137,1.40499663833628,0.72674935220041,0,1,0,0.0890817701372096,-0.510892266537578,0.689055806811997,27,41.2292758555202,163.00306041468
