"scenario","sex","definition","N","mean_z","sd_z","age_slope_per10y","height_slope_per10cm","p10","p5","n_cdf_clipped"
"US_to_Korea_frozen","Female","HGSmax",17943,-0.880501081859601,1.00531163883324,0.192017457778639,-0.336284244626149,36.519827933554,23.3948134046761,0
"US_to_Korea_frozen","Male","HGSmax",14368,-0.472976284014869,0.948170675861638,0.152497146929198,-0.345386484488467,19.7984174963497,10.898857098595,0
"Korea_to_US_frozen","Female","HGSmax",4718,0.96142649345553,1.06189900302711,-0.188921407812021,0.123548861277915,2.03020337621361,0.881939005913933,0
"Korea_to_US_frozen","Male","HGSmax",4616,0.617449219890635,1.10113798380581,-0.135555018966284,0.217795742314189,4.47905255786043,2.43425484845859,0
"US_heldout_LS","Female","HGSmax",2527,0.0207826816334027,1.03774979478311,-0.204411107894565,0.0844964527691821,9.41324522471681,5.24381881882277,0
"US_heldout_LS","Male","HGSmax",2371,0.0642539801333771,0.978031150072705,-0.101879294199224,0.155088078921025,8.83661565967406,4.40961999086463,0
"Korea_to_US_frozen","Female","bilateral_mean",4621,0.95826728601379,1.05661745633947,-0.187003495163846,0.107836481667984,1.87391039748038,0.72180699443028,0
"Korea_to_US_frozen","Male","bilateral_mean",4524,0.607268867218792,1.11847369825008,-0.138695597142415,0.23092782866999,4.89839717562709,2.52204500933136,0
"US_to_Korea_frozen","Female","bilateral_mean",17267,-0.890482611801079,1.01359470597923,0.183532211327776,-0.314551408721096,37.2316567543298,24.0172428571068,0
"US_to_Korea_frozen","Male","bilateral_mean",13926,-0.453845395661387,0.935590652386376,0.152398250770076,-0.349359918023466,19.0503823926489,9.96241737845181,0
"US_heldout_LS","Female","bilateral_mean",2470,0.0249335693185343,1.04026194030201,-0.206006335659744,0.0726747697677492,9.53228858546956,5.0879250587068,0
"US_heldout_LS","Male","bilateral_mean",2328,0.0687507978022154,0.969842043276809,-0.103314048320605,0.163420001843547,8.42462581982454,3.96838436576511,0
