"sex","family","repeat_id","fold","N_train","N_test","converged","seconds","message","iterations"
"Female","NO",1,1,14495,3448,TRUE,0.66,"",3
"Female","NO",1,2,14480,3463,TRUE,0.52,"",3
"Female","NO",1,3,14456,3487,TRUE,0.41,"",3
"Female","NO",1,4,14170,3773,TRUE,0.529999999999999,"",3
"Female","NO",1,5,14171,3772,TRUE,0.5,"",3
"Female","NO",2,1,14347,3596,TRUE,0.390000000000001,"",3
"Female","NO",2,2,14529,3414,TRUE,0.539999999999999,"",3
"Female","NO",2,3,14314,3629,TRUE,0.609999999999999,"",3
"Female","NO",2,4,14225,3718,TRUE,0.380000000000001,"",3
"Female","NO",2,5,14357,3586,TRUE,0.49,"",3
"Female","BCCG",1,1,14495,3448,TRUE,1.68,"",6
"Female","BCCG",1,2,14480,3463,TRUE,1.89,"",6
"Female","BCCG",1,3,14456,3487,TRUE,1.63,"",6
"Female","BCCG",1,4,14170,3773,TRUE,1.69,"",6
"Female","BCCG",1,5,14171,3772,TRUE,1.81,"",6
"Female","BCCG",2,1,14347,3596,TRUE,1.65,"",6
"Female","BCCG",2,2,14529,3414,TRUE,1.86,"",6
"Female","BCCG",2,3,14314,3629,TRUE,1.81,"",6
"Female","BCCG",2,4,14225,3718,TRUE,1.63,"",6
"Female","BCCG",2,5,14357,3586,TRUE,1.65,"",6
"Female","BCT",1,1,14495,3448,TRUE,9,"",15
"Female","BCT",1,2,14480,3463,TRUE,7.68,"",15
"Female","BCT",1,3,14456,3487,TRUE,7.95,"",15
"Female","BCT",1,4,14170,3773,TRUE,7.75000000000001,"",16
"Female","BCT",1,5,14171,3772,TRUE,8.45,"",15
"Female","BCT",2,1,14347,3596,TRUE,7.3,"",15
"Female","BCT",2,2,14529,3414,TRUE,8.55000000000001,"",15
"Female","BCT",2,3,14314,3629,TRUE,8.64,"",16
"Female","BCT",2,4,14225,3718,TRUE,8.25999999999999,"",15
"Female","BCT",2,5,14357,3586,TRUE,8.28,"",15
"Male","NO",1,1,11589,2779,TRUE,0.25,"",3
"Male","NO",1,2,11651,2717,TRUE,0.25,"",3
"Male","NO",1,3,11488,2880,TRUE,0.230000000000004,"",3
"Male","NO",1,4,11370,2998,TRUE,0.230000000000004,"",3
"Male","NO",1,5,11374,2994,TRUE,0.239999999999995,"",3
"Male","NO",2,1,11445,2923,TRUE,0.25,"",3
"Male","NO",2,2,11559,2809,TRUE,0.409999999999997,"",3
"Male","NO",2,3,11473,2895,TRUE,0.240000000000009,"",3
"Male","NO",2,4,11466,2902,TRUE,0.25,"",3
"Male","NO",2,5,11529,2839,TRUE,0.25,"",3
"Male","BCCG",1,1,11589,2779,TRUE,1.58000000000001,"",6
"Male","BCCG",1,2,11651,2717,TRUE,1.19,"",5
"Male","BCCG",1,3,11488,2880,TRUE,1.83,"",6
"Male","BCCG",1,4,11370,2998,TRUE,1.79000000000001,"",6
"Male","BCCG",1,5,11374,2994,TRUE,1.45999999999999,"",6
"Male","BCCG",2,1,11445,2923,TRUE,1.5,"",6
"Male","BCCG",2,2,11559,2809,TRUE,1.52999999999999,"",6
"Male","BCCG",2,3,11473,2895,TRUE,1.29999999999998,"",6
"Male","BCCG",2,4,11466,2902,TRUE,1.63,"",6
"Male","BCCG",2,5,11529,2839,TRUE,2.04999999999998,"",6
"Male","BCT",1,1,11589,2779,TRUE,6.51999999999998,"",14
"Male","BCT",1,2,11651,2717,TRUE,6.75,"",12
"Male","BCT",1,3,11488,2880,TRUE,6.44,"",12
"Male","BCT",1,4,11370,2998,TRUE,4.91,"",12
"Male","BCT",1,5,11374,2994,TRUE,5.51999999999998,"",12
"Male","BCT",2,1,11445,2923,TRUE,5.63,"",13
"Male","BCT",2,2,11559,2809,TRUE,6.22999999999999,"",12
"Male","BCT",2,3,11473,2895,TRUE,6.43000000000001,"",12
"Male","BCT",2,4,11466,2902,TRUE,6.28,"",12
"Male","BCT",2,5,11529,2839,TRUE,6.45000000000002,"",12
