"term","coefficient","SE"
"(Intercept)",2.06760122533721,0.658066883346137
"ns(age, 4)1",-0.709837155931547,0.172156582653641
"ns(age, 4)2",-0.36863947659098,0.165469983695437
"ns(age, 4)3",-1.72046563642427,0.392357039969263
"ns(age, 4)4",-0.764350308510542,0.157151445795076
"sexMale",0.228825790037183,0.112514382135245
"ns(height, 3)1",1.10894279338444,0.266975301739063
"ns(height, 3)2",1.11577918558641,1.03332902791022
"ns(height, 3)3",0.451928881804737,0.507837558586719
"ns(bmi, 3)1",-0.0861135175808864,0.234900305282851
"ns(bmi, 3)2",-0.14540032979185,1.03152459315939
"ns(bmi, 3)3",-1.04520951415319,0.834934331108882
"year_f2015",0.259603710497494,0.103393704684425
"year_f2016",0.251774248549069,0.11157062009705
"year_f2017",1.32206619719561,0.126660999532023
"year_f2018",1.41567644108671,0.134726518195469
"year_f2019",1.00898031215188,0.117184613981644
