"sex","year","N_age20_79","N_base","excluded_design_or_other_covariates","N_observed","N_missing_or_invalid_HGS"
"Female",2014,3213,3089,124,2745,344
"Female",2015,3124,2987,137,2728,259
"Female",2016,3408,3282,126,3003,279
"Female",2017,3372,3222,150,3127,95
"Female",2018,3398,3275,123,3183,92
"Female",2019,3406,3243,163,3157,86
"Male",2014,2434,2267,167,2124,143
"Male",2015,2482,2323,159,2225,98
"Male",2016,2626,2506,120,2393,113
"Male",2017,2772,2597,175,2548,49
"Male",2018,2715,2574,141,2531,43
"Male",2019,2787,2620,167,2547,73
