"setting","sex","family","abs_mean_z","abs_sd_minus1","abs_age_slope_per10y","abs_height_slope_per10cm","abs_p10_minus10_pp","abs_p5_minus5_pp","p10_age_range_pp","p10_height_range_pp","p5_height_range_pp"
"Korea OOF","Female","BCCG",8.33436037241327e-05,0.00164922358454822,0.000162921334129623,0.000710435475528537,0.372254600742997,0.0148076259366228,0.748861140269154,1.36574141444315,0.852248670855573
"Korea OOF","Male","BCCG",0.000174919152323793,0.00170993531127484,0.000217481039032089,0.00185664243493934,0.559557283287902,0.0861635169905797,0.947577941705633,1.14707529925865,1.27249055217138
"Korea OOF","Female","BCT",0.000107681633448721,0.00151930532332956,0.00212252541834134,0.00345935187684365,0.0597401520214991,0.107403462547255,0.90514492131024,1.45834008333861,0.945182019286757
"Korea OOF","Male","BCT",0.000187822205238461,0.00139976533770902,0.00229951280097927,0.00840072695784467,0.0132552160880488,0.0856000849719694,1.38189716905448,1.27666363604293,1.47500898945521
"Korea OOF","Female","NO",7.92788919197363e-05,0.00159172284240716,0.000144112313755671,0.000804802091872993,0.311987854065087,0.158648287943763,0.771381888691321,1.31059487878326,0.919116325971426
"Korea OOF","Male","NO",0.000129153743638033,0.00145998937674152,0.000257552654430071,0.00184126663476797,0.491408906366508,0.0399186012017969,1.02944583982723,1.14767514014874,1.2489897169799
"US held-out","Female","NO",0.022387883242215,0.0414455234414151,0.201018966282915,0.0828106039590261,1.03859792998741,0.0982429435266141,9.54997454803091,3.73524828982505,2.56342485191403
"US held-out","Female","BCCG",0.0229683098428682,0.0419637855464168,0.201026613469732,0.082705794056026,1.07251324103238,0.179604077418956,9.58459378131508,3.67015168383478,2.56342485191403
"US held-out","Female","BCT",0.0207826816334027,0.037749794783112,0.204411107894565,0.0844964527691821,0.586754775283188,0.24381881882277,9.50856190297041,3.98859689887437,3.44070400498028
"US held-out","Male","NO",0.0613490353666438,0.0244483230047629,0.102479797601642,0.153134103343947,2.21796925942389,0.979936062436684,5.23781749252425,6.3184248976744,2.85989315052755
"US held-out","Male","BCCG",0.0605177802622305,0.0247870835628345,0.103947250899754,0.152696072626009,2.35512636096751,1.15558402279926,4.88513505370599,6.22859867002631,3.27497583179828
"US held-out","Male","BCT",0.0642539801333771,0.0219688499272945,0.101879294199224,0.155088078921025,1.16338434032594,0.590380009135369,6.13877852935476,6.35698683836791,2.95437049633542
