"sex","quintile","N","mean_z","sd_z","P10","P5","P90","P95"
"Female","Q1",4261,0.00452873720731224,1.00347805667846,10.385735863879,5.28992044132826,10.0257810463746,5.24682881051285
"Female","Q2",3829,0.00735542759805971,1.00172495758151,10.4077087076656,5.22722711452714,10.3506962740538,5.22013634267537
"Female","Q3",3540,-0.0278565180876051,0.991173667737467,9.6857290548077,5.53909491113249,8.83997764412913,4.27808311650073
"Female","Q4",3275,0.0126537765222747,0.991047119411751,8.89373884272773,5.04488044205931,10.2450298916865,5.14239124940409
"Female","Q5",3038,0.00310810802095475,1.01179379507221,10.144225756526,4.53407537827319,11.1470817057111,5.26986297892004
"Male","Q1",3706,-0.0185824404057281,0.988429493052123,10.5130236651605,5.48277241916059,9.26012283099158,3.85169558067147
"Male","Q2",3069,0.00614817259385015,1.01893651779739,10.4351792809934,5.63908661079211,10.2664372270167,5.35832870992842
"Male","Q3",2723,0.0183676998176027,0.99042619279049,9.26397461180202,4.18976491091103,10.4459779457555,5.11757794039117
"Male","Q4",2510,0.00575675144986923,1.0136233971529,9.82788013930792,5.05774079099754,10.6185027692485,5.80448773267369
"Male","Q5",2360,-0.0109302227330764,0.987962636682972,10.0197397811106,4.88602780577216,9.84838858498428,4.84344271498997
