"sex","method","quintile","N","mean_z","sd_z","p10","p5"
"Female","Frozen","Q1",629,0.810437206601438,1.03499849941314,2.88846729294571,2.0557021529142
"Female","Frozen","Q2",558,0.905523577437246,1.05359652883534,1.71623053429326,1.40472668061894
"Female","Frozen","Q3",478,1.12771878234311,1.15483481402873,2.25419865263945,1.37289822192285
"Female","Frozen","Q4",447,1.00716033903799,1.06446186202203,3.81164133913537,0.380866472788664
"Female","Frozen","Q5",415,1.00801866560786,1.06282386385723,1.53149713747809,0.356708494399286
"Female","Location","Q1",629,-0.139711285710379,1.03499849941314,12.5542340817005,7.45690517890226
"Female","Location","Q2",558,-0.044624914874572,1.05359652883534,11.6018207496319,5.42125946357043
"Female","Location","Q3",478,0.177570290031296,1.15483481402873,7.69331853283322,5.8872653110502
"Female","Location","Q4",447,0.0570118467261725,1.06446186202203,8.10835931355813,5.86158553960223
"Female","Location","Q5",415,0.0578701732960387,1.06282386385723,10.3553703769963,4.53706016960667
"Female","Location_scale","Q1",629,-0.134185911472321,0.994065843071104,11.6016134095017,6.84251372694277
"Female","Location_scale","Q2",558,-0.042860065644463,1.01192834799988,10.4218541160321,4.55920682552287
"Female","Location_scale","Q3",478,0.170547648295557,1.10916280909224,7.61301651062731,5.53528688987784
"Female","Location_scale","Q4",447,0.0547571127040553,1.0223639733661,8.10835931355813,5.81763044336728
"Female","Location_scale","Q5",415,0.0555814937304899,1.0207907556005,9.3322113193864,3.4018097219625
"Female","Location_scale_height","Q1",629,0.0209041471200338,0.999887053325457,9.65670619517509,5.32874262794938
"Female","Location_scale_height","Q2",558,0.0194195396204843,1.01697971628962,9.98977149385566,4.23815783053395
"Female","Location_scale_height","Q3",478,0.175647840942176,1.11592018493109,7.52757572174635,5.636142029973
"Female","Location_scale_height","Q4",447,0.00709472542912683,1.02933854323743,8.41633554534761,5.86158553960223
"Female","Location_scale_height","Q5",415,-0.0858241530299942,1.03426613885639,13.9238837557818,5.38688324808621
"Male","Frozen","Q1",620,0.45545780420233,1.10842648301387,5.59370991844039,2.64020866098786
"Male","Frozen","Q2",502,0.573617687377907,1.10284764812651,5.25921654418758,3.73769090129327
"Male","Frozen","Q3",498,0.696784767313242,1.05884252108522,3.37908099522921,1.87558256315434
"Male","Frozen","Q4",383,0.750452421455835,1.09615980129085,4.10149658280697,2.78953722515918
"Male","Frozen","Q5",368,0.791838948833039,1.03920392197596,2.65229439771751,1.01183814090977
"Male","Location","Q1",620,-0.125208335262902,1.10842648301387,16.2963564242,7.54812177241175
"Male","Location","Q2",502,-0.00704845208732457,1.10284764812651,12.2387130871961,6.4433846528625
"Male","Location","Q3",498,0.116118627848009,1.05884252108522,9.44257744032196,6.20285354110079
"Male","Location","Q4",383,0.169786281990603,1.09615980129085,10.5116066824882,5.60315713023829
"Male","Location","Q5",368,0.211172809367807,1.03920392197596,5.43451301023579,3.39659991469954
"Male","Location_scale","Q1",620,-0.1124895698855,0.995831611866107,11.5481153069618,5.71957711139633
"Male","Location_scale","Q2",502,-0.00633246454396888,0.99081947960172,10.2979381905654,5.44209502096608
"Male","Location_scale","Q3",498,0.104323202404139,0.951284429453201,8.04860402341746,3.37908099522921
"Male","Location_scale","Q4",383,0.152539252226925,0.984810989732228,9.00542915127546,4.71249130681712
"Male","Location_scale","Q5",368,0.189721702212709,0.933640735346767,5.19112846859393,2.76520661506091
"Male","Location_scale_height","Q1",620,0.135219715882834,1.00796636031481,7.20198583599801,3.67085941717371
"Male","Location_scale_height","Q2",502,0.0910435487278538,1.0081404007312,9.32248679181036,4.88756162843733
"Male","Location_scale_height","Q3",498,0.100802348024821,0.966721740952767,8.12359243136174,3.64319026496754
"Male","Location_scale_height","Q4",383,0.0511262822814974,0.99989761098345,10.4251047583411,5.05974380529831
"Male","Location_scale_height","Q5",368,-0.0590730205284165,0.950412342135323,9.2431473710459,3.61824461296119
