"scenario","sex","normalization","calibration","term","estimate","ci_low","ci_high","p_value"
"Korea_temporal","Female","BCT","Frozen","age_c",-0.0305404516580877,-0.0549797754199325,-0.00610112789624302,0.0144219720025883
"Korea_temporal","Female","BCT","Frozen","height_c",-0.0594402183860326,-0.101693410732803,-0.0171870260392616,0.00592405142446561
"Korea_temporal","Female","BCT","Frozen","age_c:height_c",-0.0455650216975536,-0.0687442658803495,-0.0223857775147577,0.000127340934859192
"Korea_temporal","Female","Height2","Frozen","age_c",-0.0352358399093122,-0.059546358892388,-0.0109253209262364,0.00458675255241408
"Korea_temporal","Female","Height2","Frozen","height_c",-0.170747496159582,-0.213659678825849,-0.127835313493314,3.29965735691503e-14
"Korea_temporal","Female","Height2","Frozen","age_c:height_c",-0.0252330364427855,-0.0492197060817099,-0.00124636680386119,0.0392671566502535
"Korea_temporal","Female","Allometry_ageadj","Frozen","age_c",-0.0103603371211083,-0.0350701597240025,0.0143494854817859,0.410450568770929
"Korea_temporal","Female","Allometry_ageadj","Frozen","height_c",-0.0495556161295683,-0.0926750674003493,-0.00643616485878721,0.0243788071751834
"Korea_temporal","Female","Allometry_ageadj","Frozen","age_c:height_c",-0.028243806938876,-0.0525099434829952,-0.00397767039475675,0.022627805510136
"Korea_temporal","Male","BCT","Frozen","age_c",0.056718077186824,0.0326912913873476,0.0807448629863004,4.51210618562418e-06
"Korea_temporal","Male","BCT","Frozen","height_c",0.0268417582034279,-0.0195512101497289,0.0732347265565848,0.256183474560783
"Korea_temporal","Male","BCT","Frozen","age_c:height_c",-0.0569615598172063,-0.0812087053697741,-0.0327144142646385,5.00508413523291e-06
"Korea_temporal","Male","Height2","Frozen","age_c",0.0025376302812981,-0.0232915962596406,0.0283668568222368,0.847011685555219
"Korea_temporal","Male","Height2","Frozen","height_c",-0.175590083118488,-0.223545109364785,-0.127635056872192,2.35683084257445e-12
"Korea_temporal","Male","Height2","Frozen","age_c:height_c",-0.0178541578503862,-0.0430592590992756,0.00735094339850323,0.164619738125801
"Korea_temporal","Male","Allometry_ageadj","Frozen","age_c",0.0470281002577907,0.0212530159531466,0.0728031845624348,0.000370863188486378
"Korea_temporal","Male","Allometry_ageadj","Frozen","height_c",0.0150547707374673,-0.0336003917575843,0.063709933232519,0.543505684660333
"Korea_temporal","Male","Allometry_ageadj","Frozen","age_c:height_c",-0.0222074071124755,-0.0477386822057025,0.00332386798075145,0.0880808137997717
"US_heldout","Female","BCT","Frozen","age_c",-0.213630158464454,-0.241975634122707,-0.185284682806201,1.37480576489604e-09
"US_heldout","Female","BCT","Frozen","height_c",0.00554446158911953,-0.080751214874343,0.091840138052582,0.890991796644883
"US_heldout","Female","BCT","Frozen","age_c:height_c",-0.00323404385193553,-0.0457017261830718,0.0392336384792007,0.870980043231798
"US_heldout","Female","BCT","Location_scale","age_c",-0.205181402388308,-0.232405856504376,-0.177956948272239,1.37480576489603e-09
"US_heldout","Female","BCT","Location_scale","height_c",0.00532518635252971,-0.0775576240338466,0.088207996738906,0.890991796644881
"US_heldout","Female","BCT","Location_scale","age_c:height_c",-0.00310614221182556,-0.0438942906620059,0.0376820062383548,0.870980043231797
"US_heldout","Female","Height2","Frozen","age_c",-0.241351184714175,-0.269475951985919,-0.213226417442432,3.0574523637743e-10
"US_heldout","Female","Height2","Frozen","height_c",-0.184632839383114,-0.270205146610171,-0.0990605321560577,0.000513373243060944
"US_heldout","Female","Height2","Frozen","age_c:height_c",0.00599588030169088,-0.0389148218318458,0.0509065824352276,0.776104765659773
"US_heldout","Female","Height2","Location_scale","age_c",-0.227791326893797,-0.254335957544758,-0.201246696242836,3.05745236377427e-10
"US_heldout","Female","Height2","Location_scale","height_c",-0.174259594047804,-0.255024183754291,-0.0934950043413178,0.000513373243060937
"US_heldout","Female","Height2","Location_scale","age_c:height_c",0.0056590131572631,-0.0367284664933787,0.0480464928079049,0.776104765659772
"US_heldout","Female","Allometry_ageadj","Frozen","age_c",-0.214866671370486,-0.243656417909486,-0.186076924831487,1.5387786554096e-09
"US_heldout","Female","Allometry_ageadj","Frozen","height_c",0.00593953924228415,-0.0829165893050552,0.0947956677896235,0.886622185492358
"US_heldout","Female","Allometry_ageadj","Frozen","age_c:height_c",-0.00267895415264948,-0.0482961163657599,0.042938208060461,0.900303986529066
"US_heldout","Female","Allometry_ageadj","Location_scale","age_c",-0.200956062999637,-0.227881942580371,-0.174030183418903,1.53877865540972e-09
"US_heldout","Female","Allometry_ageadj","Location_scale","height_c",0.00555500959989849,-0.0775485152621511,0.088658534461948,0.886622185492357
"US_heldout","Female","Allometry_ageadj","Location_scale","age_c:height_c",-0.00250551691446223,-0.0451693943091846,0.0401583604802601,0.900303986529069
"US_heldout","Male","BCT","Frozen","age_c",-0.0964632261020389,-0.137891518391148,-0.0550349338129299,0.000273717182627118
"US_heldout","Male","BCT","Frozen","height_c",0.151387938083859,0.0639570187894079,0.238818857378309,0.00265894341238028
"US_heldout","Male","BCT","Frozen","age_c:height_c",-0.0114460495597861,-0.045648626682578,0.0227565275630058,0.479900258893793
"US_heldout","Male","BCT","Location_scale","age_c",-0.0866644124866112,-0.123884384870298,-0.0494444401029241,0.000273717182627126
"US_heldout","Male","BCT","Location_scale","height_c",0.136009827182421,0.0574602123706291,0.214559441994212,0.00265894341238034
"US_heldout","Male","BCT","Location_scale","age_c:height_c",-0.0102833504587769,-0.0410116017484373,0.0204449008308835,0.47990025889379
"US_heldout","Male","Height2","Frozen","age_c",-0.152544612409447,-0.198234753765304,-0.106854471053591,9.81425423295317e-06
"US_heldout","Male","Height2","Frozen","height_c",-0.116991814078163,-0.205181461149313,-0.0288021670070122,0.0135660734961591
"US_heldout","Male","Height2","Frozen","age_c:height_c",-0.00486395341887186,-0.0421784970102572,0.0324505901725134,0.781244926741711
"US_heldout","Male","Height2","Location_scale","age_c",-0.13549428483474,-0.176077514417396,-0.0949110552520836,9.81425423295288e-06
"US_heldout","Male","Height2","Location_scale","height_c",-0.103915319785215,-0.18224776936174,-0.0255828702086898,0.0135660734961594
"US_heldout","Male","Height2","Location_scale","age_c:height_c",-0.00432029607306345,-0.0374640913077246,0.0288234991615977,0.781244926741714
"US_heldout","Male","Allometry_ageadj","Frozen","age_c",-0.111678041854664,-0.157181720183118,-0.0661743635262094,0.000174348803798545
"US_heldout","Male","Allometry_ageadj","Frozen","height_c",0.0849599456587745,-0.00515153739469892,0.175071428712248,0.062401260024683
"US_heldout","Male","Allometry_ageadj","Frozen","age_c:height_c",-0.0123166151013329,-0.0503588132973764,0.0257255830947107,0.494017325750414
"US_heldout","Male","Allometry_ageadj","Location_scale","age_c",-0.0979483318044927,-0.137857783199071,-0.0580388804099147,0.000174348803798544
"US_heldout","Male","Allometry_ageadj","Location_scale","height_c",0.0745149611264403,-0.00451820685301708,0.153548129105898,0.0624012600246844
"US_heldout","Male","Allometry_ageadj","Location_scale","age_c:height_c",-0.010802409163151,-0.044167695566789,0.0225628772404871,0.494017325750413
