"scenario","sex","normalization","calibration","age_group","N","mean_z","mean_ci_low","mean_ci_high","sd_z","p10","p5","p10_events","p5_events"
"Korea_temporal","Female","BCT","Frozen","20-39",2504,-0.428769580239804,-0.473645546514381,-0.383893613965228,0.971117773345885,18.965552805619,10.4261487104999,492,265
"Korea_temporal","Female","BCT","Frozen","40-59",3858,-0.504414681221234,-0.543211511674035,-0.465617850768433,0.952802724503898,20.7698182356037,11.8168595756518,787,442
"Korea_temporal","Female","BCT","Frozen","60-79",3105,-0.336951361979726,-0.383381584442214,-0.290521139517237,0.985389295418573,16.8137756591654,9.49458534496261,530,307
"Korea_temporal","Female","Height2","Frozen","20-39",2504,-0.441661213232766,-0.486902248070636,-0.396420178394897,0.971547306727696,18.7119877219383,10.6388980821693,481,267
"Korea_temporal","Female","Height2","Frozen","40-59",3858,-0.507589925992773,-0.546186761140934,-0.468993090844611,0.94985855965469,19.9802755483394,11.8692709677234,756,444
"Korea_temporal","Female","Height2","Frozen","60-79",3105,-0.331420249089877,-0.377901982335741,-0.284938515844013,0.994321213283654,16.4384392524395,9.19176914111251,516,300
"Korea_temporal","Female","Allometry_ageadj","Frozen","20-39",2504,-0.436982981790082,-0.482377703506392,-0.391588260073773,0.979986707580432,18.7134486246648,11.023857557914,482,275
"Korea_temporal","Female","Allometry_ageadj","Frozen","40-59",3858,-0.49851059463524,-0.537324900747806,-0.459696288522674,0.952549886368229,19.816907098576,11.63447243374,749,436
"Korea_temporal","Female","Allometry_ageadj","Frozen","60-79",3105,-0.320234765858401,-0.366510730193744,-0.273958801523059,0.98320974731045,16.1244230455353,9.27584400127155,504,298
"Korea_temporal","Male","BCT","Frozen","20-39",2219,-0.354301522967078,-0.405280145460128,-0.303322900474027,0.98927660527065,17.7093335311148,9.14650030050912,400,204
"Korea_temporal","Male","BCT","Frozen","40-59",2926,-0.361794140538828,-0.409212892929654,-0.314375388148002,1.031209177386,19.1194648415863,11.0189946087417,559,313
"Korea_temporal","Male","BCT","Frozen","60-79",2481,-0.306260472426037,-0.355530730586133,-0.256990214265941,0.976277548319474,15.4341968499943,8.72357612011441,388,218
"Korea_temporal","Male","Height2","Frozen","20-39",2219,-0.38880653981714,-0.442241124323499,-0.335371955310781,1.02633221618829,18.0207972397325,10.0508016036748,410,226
"Korea_temporal","Male","Height2","Frozen","40-59",2926,-0.367522298803014,-0.414198799220347,-0.32084579838568,1.01075828878409,17.3718226534412,9.95445090694986,507,284
"Korea_temporal","Male","Height2","Frozen","60-79",2481,-0.286145914367831,-0.333439430592763,-0.238852398142899,0.938143247238966,13.4546455058788,7.48890803282072,343,192
"Korea_temporal","Male","Allometry_ageadj","Frozen","20-39",2219,-0.382233273217796,-0.436316212524746,-0.328150333910846,1.04487302522199,18.4914778588413,10.300349138356,418,230
"Korea_temporal","Male","Allometry_ageadj","Frozen","40-59",2926,-0.352952619214055,-0.399740815500739,-0.30616442292737,1.0158741227871,17.1795505918675,9.99871820462246,497,286
"Korea_temporal","Male","Allometry_ageadj","Frozen","60-79",2481,-0.269635734803635,-0.315823870339463,-0.223447599267806,0.92993962743153,12.7596155835704,7.36851763710757,328,187
"US_heldout","Female","BCT","Frozen","20-39",927,1.33661456517603,1.2689888714822,1.40424025886986,1.01505332607482,0.246013370767485,0.190788117244611,4,3
"US_heldout","Female","BCT","Frozen","40-59",916,0.894368640372684,0.827624657458028,0.961112623287339,1.06136889579501,3.5864006019005,1.18183735714404,24,12
"US_heldout","Female","BCT","Frozen","60-79",684,0.521076858981122,0.427190874633101,0.614962843329142,1.01240658294341,4.11927572367069,2.47168493805441,32,17
"US_heldout","Female","BCT","Location_scale","20-39",927,0.371181912590192,0.306230714831796,0.436133110348587,0.974909471771052,4.74553011280372,1.55927885535086,54,19
"US_heldout","Female","BCT","Location_scale","40-59",916,-0.0535738414845017,-0.117678198817967,0.0105305158489641,1.01939332936827,10.998416220504,6.46279793229251,100,54
"US_heldout","Female","BCT","Location_scale","60-79",684,-0.412102486299857,-0.502275419146034,-0.321929553453679,0.972367403406889,14.2540920157741,9.11530684733159,116,77
"US_heldout","Female","Height2","Frozen","20-39",927,1.31068536971836,1.23452343962314,1.38684729981359,1.05756174278578,0.280575846017218,0.108347699273641,4,2
"US_heldout","Female","Height2","Frozen","40-59",916,0.806571847544462,0.735854828353856,0.877288866735068,1.08706933668276,3.77325012597356,2.31334781509872,26,17
"US_heldout","Female","Height2","Frozen","60-79",684,0.424879520184553,0.335685822966724,0.514073217402382,0.985407839229777,4.34219296530327,2.47168493805441,31,17
"US_heldout","Female","Height2","Location_scale","20-39",927,0.41400692168307,0.342124004946074,0.485889838420066,0.998144645308383,4.3628156720068,1.22217048761224,44,14
"US_heldout","Female","Height2","Location_scale","40-59",916,-0.0617839399076498,-0.12852785771555,0.00495997790025027,1.02599441109759,10.1028529863687,6.22498831076589,84,49
"US_heldout","Female","Height2","Location_scale","60-79",684,-0.422031608952501,-0.506214127732652,-0.33784909017235,0.930044571753521,13.7104810338555,8.41136595236897,105,63
"US_heldout","Female","Allometry_ageadj","Frozen","20-39",927,1.35484944443182,1.28371565363949,1.42598323522415,1.06943648038728,0.246013370767485,0.190788117244611,4,3
"US_heldout","Female","Allometry_ageadj","Frozen","40-59",916,0.894753767027667,0.825042535045164,0.96446499901017,1.0951321096767,3.28405816119337,1.255799372681,22,13
"US_heldout","Female","Allometry_ageadj","Frozen","60-79",684,0.530071045449306,0.43757817331515,0.622563917583462,0.990827633418875,3.55137499905731,2.38317193230644,28,16
"US_heldout","Female","Allometry_ageadj","Location_scale","20-39",927,0.371541695873574,0.305013153067514,0.438070238679633,1.00020046550754,4.36437052911979,1.42429190525652,47,17
"US_heldout","Female","Allometry_ageadj","Location_scale","40-59",916,-0.0587670874503273,-0.123965168831237,0.00643099393058266,1.02423254300642,10.7880380183441,6.1385919963289,96,47
"US_heldout","Female","Allometry_ageadj","Location_scale","60-79",684,-0.399840011905966,-0.486344835204318,-0.313335188607615,0.926680806535058,13.2087708336703,8.21532455005889,108,65
"US_heldout","Male","BCT","Frozen","20-39",886,0.863460256729237,0.771333407869315,0.955587105589159,1.11512855442735,3.10543971925083,1.4712865069238,31,14
"US_heldout","Male","BCT","Frozen","40-59",848,0.548747537074485,0.444713096214428,0.652781977934542,1.03152617124406,4.41730851953318,2.41719330947104,39,20
"US_heldout","Male","BCT","Frozen","60-79",637,0.454312829092339,0.328088613237134,0.580537044947545,1.07394671367789,5.800538744205,4.07821929608951,59,41
