"sex","parameter","term","coefficient"
"Female","mu","(Intercept)",15.7386531354296
"Female","mu","A1",2.05504199123199
"Female","mu","A2",0.0977918722037806
"Female","mu","A3",0.813096018510495
"Female","mu","A4",-4.56066886972476
"Female","mu","H1",7.66889195888392
"Female","mu","H2",16.9399960583375
"Female","mu","H3",11.9423669439336
"Female","sigma","(Intercept)",-1.52541749278484
"Female","sigma","A1",-0.0399991102179098
"Female","sigma","A2",-0.10219521187153
"Female","sigma","A3",0.0217600628606711
"Female","sigma","A4",0.246547530262694
"Female","sigma","SH1",-0.177420171600605
"Female","sigma","SH2",-0.309939425708198
"Female","sigma","SH3",0.0576444345021871
"Female","nu","(Intercept)",1.06935000495625
"Female","tau","(Intercept)",3.21540627197947
"Male","mu","(Intercept)",20.8168150975723
"Male","mu","A1",3.12618929987865
"Male","mu","A2",-1.24611000933139
"Male","mu","A3",0.317206219264223
"Male","mu","A4",-9.98745505730356
"Male","mu","H1",16.0847130460713
"Male","mu","H2",36.5825697073276
"Male","mu","H3",18.5876839879659
"Male","sigma","(Intercept)",-0.758154022445084
"Male","sigma","A1",-0.114709519432564
"Male","sigma","A2",-0.176301172122955
"Male","sigma","A3",-0.0937550844922474
"Male","sigma","A4",0.204896263565668
"Male","sigma","SH1",-0.602942784306201
"Male","sigma","SH2",-2.09781133400425
"Male","sigma","SH3",-0.467391607968946
"Male","nu","(Intercept)",1.10459560716541
"Male","tau","(Intercept)",2.68439569670545
